id,name,formula,charge,inchikey,smiles,deltag,kegg id
cpd00001_c0,H2O_c0,H2O,0,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-56.687,C00001
cpd00067_c0,H+_c0,H,1,GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+],-9.53,C00080
cpd00171_c0,D-Ribulose5-phosphate_c0,C5H9O8P,-2,FNZLKVNUWIIPSJ-UHNVWZDZSA-L,O=C(CO)C(O)C(O)COP(=O)([O-])[O-],-393.5,C00199
cpd00002_c0,ATP_c0,C10H13N5O13P3,-3,ZKHQWZAMYRWXGA-KQYNXXCUSA-K,Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])C(O)C1O,-673.85,C00002
cpd00029_c0,Acetate_c0,C2H3O2,-1,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-],-88.29,C00033
cpd00008_c0,ADP_c0,C10H13N5O10P2,-2,XTWYTFMLZFPYCI-KQYNXXCUSA-L,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])[O-])C(O)C1O,-465.85,C00008
cpd00009_c0,Phosphate_c0,HO4P,-2,NBIIXXVUZAFLBC-UHFFFAOYSA-L,O=P([O-])([O-])O,-261.974,C00009
cpd00196_c0,Acetylphosphate_c0,C2H3O5P,-2,LIPOUNRJVLNBCD-UHFFFAOYSA-L,CC(=O)OP(=O)([O-])[O-],-301.65,C00227
cpd00027_c0,D-Glucose_c0,C6H12O6,0,WQZGKKKJIJFFOK-DVKNGEFBSA-N,OCC1OC(O)C(O)C(O)C1O,-218.28,C00031
cpd00236_c0,D-Erythrose4-phosphate_c0,C4H7O7P,-2,NGHMDNPXVRFFGS-IUYQGCFVSA-L,O=CC(O)C(O)COP(=O)([O-])[O-],-355.62,C00279
cpd00102_c0,Glyceraldehyde3-phosphate_c0,C3H5O6P,-2,LXJXRIRHZLFYRP-VKHMYHEASA-L,O=CC(O)COP(=O)([O-])[O-],-319.2,C00118
cpd00290_c0,"D-fructose-1,6-bisphosphate_c0",C6H10O12P2,-4,RNBGYGVWRKECFJ-ARQDHWQXSA-J,O=P([O-])([O-])OCC1OC(O)(COP(=O)([O-])[O-])C(O)C1O,-644.17,C00354
dhap_c0,dhap_c0,,0,,,,
cpd00072_c0,D-fructose-6-phosphate_c0,C6H11O9P,-2,BGWGXPAPYGQALX-ARQDHWQXSA-L,O=P([O-])([O-])OCC1OC(O)(CO)C(O)C1O,-431.67,C00085
cpd00079_c0,D-glucose-6-phosphate_c0,C6H11O9P,-2,NBSCHQHZLSJFNQ-DVKNGEFBSA-L,O=P([O-])([O-])OCC1OC(O)C(O)C(O)C1O,-430.78,C00092
r5p_c0,r5p_c0,,0,,,,
cpd00198_c0,D-Xylulose5-phosphate_c0,C5H9O8P,-2,FNZLKVNUWIIPSJ-RFZPGFLSSA-L,O=C(CO)C(O)C(O)COP(=O)([O-])[O-],-393.5,C00231
cpd00238_c0,Sedoheptulose7-phosphate_c0,C7H13O10P,-2,JDTUMPKOJBQPKX-GBNDHIKLSA-L,O=C(CO)C(O)C(O)C(O)C(O)COP(=O)([O-])[O-],-466.34,C05382
